sku,width,height,depth,keyword,match_confidence,notes,supplier_sources
AW1230,12,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
AW1236,12,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
AW1242,12,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
B06,06,34.5,24,BASE,50%,"canonical keyword, no supplier confirmation",
B06FD BOX,6,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B06FD-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B09,9,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B09-CCB,9,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B09-PCG,9,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B09F,9,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,CABINET_STONE
B09FD BOX,9,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B09FD/W0930-F,9,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B12,12,34.5,24,BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
B12 BOX,12,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B12-CCB,12,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B12-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B12-PCG,12,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B12FD BOX,12,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B12FD/W1230-F,12,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B15,15,34.5,24,BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
B15 BOX,15,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B15-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B15-PCG,15,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B15FD BOX,15,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B15FD/W1530-F,15,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B18,18,34.5,24,BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
B18 BOX,18,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B18-CCB,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B18-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B18-PCG,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B18FD BOX,18,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B18FD/W1830-F,18,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B18FH,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B18FH-PCG,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B21,21,34.5,24,BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
B21 BOX,21,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B21-CCB,21,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B21-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B21-PCG,21,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B210,21,34.5,24,BASE,80%,batch-pattern: pattern: B+size base cabinet,CABINET_STONE
B21FD BOX,21,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B21FD/W2130-F,21,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B24,24,34.5,24,BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
B24 BOX,24,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B24-CCB,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B24-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B24-PCG,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B24FD BOX,24,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B24FD/W2430-F,24,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B27,27,34.5,24,BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
B27 BOX,27,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B27-CCB,27,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B27-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B27-PCG,27,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B270,27,34.5,24,BASE,80%,batch-pattern: pattern: B+size base cabinet,CABINET_STONE
B27FD BOX,27,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B27FD/W2730-F,27,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B30,30,34.5,24,BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
B30 BOX,30,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B30-CCB,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B30-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B30-PCG,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B301,30,34.5,24,BASE,80%,batch-pattern: pattern: B+size base cabinet,CABINET_STONE
B30FD BOX,30,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B30FD/W3030-F,30,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B33,33,34.5,24,BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
B33 BOX,33,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B33-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B33-PCG,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B33FD BOX,33,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B33FD/W3330-F,33,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B36,36,34.5,24,BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
B36 BOX,36,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B36-CCB,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B36-F,,34.5,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B36-PCG,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
B36FD BOX,36,34.5,24,BASE,80%,"human-confirmed: BOX (cabinet box only), inherits BASE",
B36FD/W3630-F,36,30,24,BASE,80%,"human-confirmed: FRONT (door/drawer head/frame), inherits BASE",
B39,39,34.5,24,BASE,92%,2 suppliers confirm W+H+D+keyword,CABINET_STONE|LOVE_MILESTONE
B42,42,34.5,24,BASE,92%,2 suppliers confirm W+H+D+keyword,GHI|LOVE_MILESTONE
B48,48,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BAM,96,0.75,0.25,MOLDING,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BAM8,,,,MOLDING,50%,"canonical keyword, no supplier confirmation",
BASE SKIN,,,,BASE,50%,"canonical keyword, no supplier confirmation",
BB33,33,34.5,24,BASE,50%,"canonical keyword, no supplier confirmation",
BB3X3,,,,ROSETTE,80%,human-confirmed: rosette,
BBC33(39),39,,,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC3339,333,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC339,339,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC36,36,34.5,24,BASE,40%,CONFLICT: suppliers disagree on dims,CABINET_STONE|LOVE_MILESTONE
BBC36 BOX,36,,,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC36-F,,,,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC3642,364,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC39,39,34.5,24,BASE,40%,CONFLICT: suppliers disagree on dims,CABINET_STONE|LOVE_MILESTONE
BBC3942,394,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC39FHD9L,39,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC39FHD9R,39,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC4048,404,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC42,39,34.5,24,BASE,40%,CONFLICT: suppliers disagree on dims,CABINET_STONE|LOVE_MILESTONE
BBC42 BOX,42,,,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC42(45),45,,,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC42-45,42,34.5,24,WALL,85%,1 supplier confirms W+H+D+keyword,GHI
BBC42-45-PCG,42,34.5,24,WALL,85%,1 supplier confirms W+H+D+keyword,GHI
BBC42-F,,,,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC4245,42,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,GHI
BBC4248,424,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC43,43,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBC45,45,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BBC46,46,34.5,24,BLIND_BASE,80%,human-confirmed: blind base corner cabinet,
BBFPV4896,,,,PANEL,50%,"canonical keyword, no supplier confirmation",
BBP09,9,34.5,24,BASE,80%,batch-pattern: pattern: BBP base,CABINET_STONE
BC24,24,34.5,,BASE,55%,W only confirmed,GHI
BC24-PCG,24,34.5,,BASE,55%,W only confirmed,GHI
BC249024,24,90,24,UTILITY,80%,batch-pattern: pattern: BC broom closet/utility,
BC249624,24,96,24,UTILITY,80%,batch-pattern: pattern: BC broom closet/utility,
BCM8,,,,BASE,50%,"canonical keyword, no supplier confirmation",
BCM8(DCM),96,3.53125,2.375,CROWN,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BCSC-5C,,,,SPICE_RACK_INSERT,80%,human-confirmed: spice rack insert,DL
BDD,23,29.3125,24,BASE,80%,pattern-matched: BDD* → BASE,GHI
BDD-CCB,23,29.3125,24,BASE,80%,pattern-matched: BDD* → BASE,GHI
BDD-PCG,23,29.3125,24,BASE,80%,pattern-matched: BDD* → BASE,GHI
BDD15,15,30,24,BASE,80%,pattern-matched: BDD* → BASE,
BDD18,18,30,24,BASE,80%,pattern-matched: BDD* → BASE,
BDD21,,34.5,24,BASE,80%,pattern-matched: BDD* → BASE,
BDD24,24,30,24,BASE,80%,pattern-matched: BDD* → BASE,
BDD25,,34.5,24,BASE,80%,pattern-matched: BDD* → BASE,
BDEP,23.5,29,0.75,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BEA,,34.5,24,BASE_END,80%,pattern-matched: BEA* → BASE_END,
BEA12,12,34.5,24,BASE_END,80%,pattern-matched: BEA* → BASE_END,
BEA12 L/R,,34.5,24,BASE_END,80%,pattern-matched: BEA* → BASE_END,
BEA12L/R,12,34.5,24,BASE_END,80%,pattern-matched: BEA* → BASE_END,
BEC12L,12,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BEC12R,12,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BEC24,24,34.5,24,BASE_END,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BEP24,24,,,BASE,50%,"canonical keyword, no supplier confirmation",
BEP3L,24,34.5,0.5,BASE_END,85%,1 supplier confirms W+H+D+keyword,GHI
BEP3L-CCB,24,34.5,0.5,BASE_END,85%,1 supplier confirms W+H+D+keyword,GHI
BEP3L-LW,24,34.5,0.5,BASE_END,85%,1 supplier confirms W+H+D+keyword,GHI
BEP3L-PCG,24,34.5,0.5,BASE_END,85%,1 supplier confirms W+H+D+keyword,GHI
BER33,33,34.5,24,BASE,80%,pattern-matched: BER* → BASE,
BER34,34,34.5,24,BASE,80%,pattern-matched: BER* → BASE,
BER36,36,34.5,24,BASE,80%,pattern-matched: BER* → BASE,
BER37,37,34.5,24,BASE,80%,pattern-matched: BER* → BASE,
BES09,,34.5,24,BASE_END,80%,pattern-matched: BES* → BASE_END,
BES09L/R,9,34.5,24,BASE_END,80%,pattern-matched: BES* → BASE_END,
BES12,12,34.5,24,BASE_END,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BF3,3,34.5,,BASE,55%,W only confirmed,GHI
BF3-CCB,3,34.5,,BASE,55%,W only confirmed,GHI
BF3-LW,3,34.5,,BASE,55%,W only confirmed,GHI
BF3-PCG,3,34.5,,BASE,55%,W only confirmed,GHI
BF336,3,,,BASE_FILLER,80%,pattern-matched: BF* → BASE_FILLER,
BF6,,,,BASE_FILLER,80%,pattern-matched: BF* → BASE_FILLER,
BF636,6,,,BASE_FILLER,80%,pattern-matched: BF* → BASE_FILLER,
BFD12,,,,BASE_FILLER,80%,pattern-matched: BF* → BASE_FILLER,
BFD15,,,,BASE_FILLER,80%,pattern-matched: BF* → BASE_FILLER,
BFD2430,24,30,0.75,BASE_FILLER,80%,pattern-matched: BF* → BASE_FILLER,CABINET_STONE
BFH09,09,34.5,24,BASE_FILLER,80%,pattern-matched: BF* → BASE_FILLER,
BFH12,12,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BFH15,15,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BFH18,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BFH21,21,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BFH24,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BFH27,27,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BFH30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BFH33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BFH36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
BLS33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,CABINET_STONE
BLS33/BER33 BOX,33,34.5,24,LAZY_SUSAN_BASE,80%,pattern-matched: BLS* → LAZY_SUSAN_BASE,
BLS33/BER33-F,,34.5,24,LAZY_SUSAN_BASE,80%,pattern-matched: BLS* → LAZY_SUSAN_BASE,
BLS36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,CABINET_STONE
BLS36/BER36 BOX,36,34.5,24,LAZY_SUSAN_BASE,80%,pattern-matched: BLS* → LAZY_SUSAN_BASE,
BLS36/BER36-F,,34.5,24,LAZY_SUSAN_BASE,80%,pattern-matched: BLS* → LAZY_SUSAN_BASE,
BLS360,36,34.5,24,LAZY_SUSAN_BASE,80%,pattern-matched: BLS* → LAZY_SUSAN_BASE,CABINET_STONE
BM27,,34.5,24,BASE,80%,pattern-matched: BM* → BASE,
BM27A,27,34.5,24,BASE,80%,pattern-matched: BM* → BASE,
BM30,30,34.5,24,BASE,80%,pattern-matched: BM* → BASE,
BM8,,34.5,24,BASE,80%,pattern-matched: BM* → BASE,
BM8/*DSM8,,34.5,24,BASE,80%,pattern-matched: BM* → BASE,
BM8/DSM8,,34.5,24,BASE,80%,pattern-matched: BM* → BASE,
BMC27,,34.5,24,BASE,80%,pattern-matched: BMC* → BASE,
BMC30,,34.5,24,BASE,80%,pattern-matched: BMC* → BASE,
BMC30 BOX,30,34.5,24,BASE,80%,pattern-matched: BMC* → BASE,
BMC30-F,,34.5,24,BASE,80%,pattern-matched: BMC* → BASE,
BP2496,,,0.25,SKIN_PANEL,80%,"human-confirmed: base panel (skin panel), D=0.25 thickness",
BP2596,,,0.25,SKIN_PANEL,80%,"human-confirmed: base panel (skin panel), D=0.25 thickness",
BP2596 3/4,25,96,0.25,SKIN_PANEL,80%,"human-confirmed: base panel (skin panel), D=0.25 thickness",
BP2796,,,0.25,SKIN_PANEL,80%,"human-confirmed: base panel (skin panel), D=0.25 thickness",
BP34.596,,,0.25,SKIN_PANEL,80%,"human-confirmed: base panel (skin panel), D=0.25 thickness",
